End_A,End_B,Light_A,Light_B,!,Letter
1,2,30,60,!,top T
3,4,0,30,!,down T
7,5,0,60,!,left H
8,10,0,60,!,right H
11,13,0,30,!,left A
14,16,30,60,!,right A
17,18,0,20,!,left N
19,20,20,40,!,mid N
21,22,40,60,!,right N
23,25,40,60,!,k Side
26,24,0,30,!,bottom K
42,27,30,60,!,top K
28,29,0,35,!,top !
30,31,45,60,!,dot !
32,33,0,10,!,S start bottom
34,35,10,20,!,
36,37,20,40,!,
38,39,40,50,!,
40,41,50,60,!,S end top
9,6,20,40,!,mid H
12,15,10,50,!,mid A
